,intent,snip
596,How to group DataFrame by a period of time?,df.groupby(df.index.map(lambda t: t.minute))
597,Accessing elements of python dictionary,dict['Apple']['American']
598,How to remove rows with null values from kth column onward in python,"df2.dropna(subset=['three', 'four', 'five'], how='all')"
599,How do I insert a list at the front of another list?,"a.insert(0, k)"
600,How do I insert a list at the front of another list?,a = a[:n] + k + a[n:]
601,Pyhon - Best way to find the 1d center of mass in a binary numpy array,np.flatnonzero(x).mean()
602,Keep only date part when using pandas.to_datetime,df['just_date'] = df['dates'].dt.date
603,Removing one list from another,[x for x in a if x not in b]
604,How do I transform a multi-level list into a list of strings in Python?,[''.join(x) for x in a]
605,How do I transform a multi-level list into a list of strings in Python?,"list(map(''.join, a))"
606,Matching blank lines with regular expressions,"re.split('\n\\s*\n', s)"
607,Merging items in a list - Python,"from functools import reduce\nreduce(lambda x, y: 10 * x + y, [1, 2, 3, 4, 5])"
608,Convert float to comma-separated string,"""""""{0:,.2f}"""""".format(24322.34)"
609,How to pass dictionary items as function arguments in python?,my_function(**data)
610,get line count,sum((1 for line in open('myfile.txt')))
611,get line count,def bufcount(filename):\n    f = open(filename)\n    lines = 0\n    buf_size = (1024 * 1024)\n    read_f = f.read\n    buf = read_f(buf_size)\n    while buf:\n        lines += buf.count('\n')\n        buf = read_f(buf_size)\n    return lines
612,How to round integers in python,"print(round(1123.456789, -1))"
613,Sorting list based on values from another list?,"[x for y, x in sorted(zip(Y, X))]"
614,Sorting list based on values from another list?,"[x for y, x in sorted(zip(Y, X))]"
615,How to get week number in Python?,"datetime.date(2010, 6, 16).isocalendar()[1]"
616,Select multiple ranges of columns in Pandas DataFrame,"df.iloc[:, (np.r_[1:10, (15), (17), 50:100])]"
617,Python Pandas: Multiple aggregations of the same column,"df.groupby('dummy').agg({'returns': [np.mean, np.sum]})"
618,convert string to lowercase,s.lower()
619,convert string to lowercase,s.decode('utf-8').lower()
620,How to download a file via FTP with Python ftplib,"ftp.retrbinary('RETR %s' % filename, file.write)"
621,How do I increase the timeout for imaplib requests?,"urlfetch.fetch(url, deadline=10 * 60)"
622,Output first 100 characters in a string,print(my_string[0:100])
623,matplotlib Legend Markers Only Once,legend(numpoints=1)
624,Python - How to calculate equal parts of two dictionaries?,"dict((x, set(y) & set(d1.get(x, ()))) for x, y in d2.items())"
625,load csv into 2D matrix with numpy for plotting,"numpy.loadtxt(open('test.csv', 'rb'), delimiter=',', skiprows=1)"
626,Django database query: How to filter objects by date range?,"Sample.objects.filter(date__range=['2011-01-01', '2011-01-31'])"
627,Django database query: How to filter objects by date range?,"Sample.objects.filter(date__year='2011', date__month='01')"
628,syntax for creating a dictionary into another dictionary in python,"d['dict3'] = {'spam': 5, 'ham': 6}"
629,How to apply numpy.linalg.norm to each row of a matrix?,"numpy.apply_along_axis(numpy.linalg.norm, 1, a)"
630,How to merge two Python dictionaries in a single expression?,"dict((k, v) for d in dicts for k, v in list(d.items()))"
631,Python. Convert escaped utf string to utf-string,print('your string'.decode('string_escape'))
632,Counting the number of True Booleans in a Python List,"sum([True, True, False, False, False, True])"
633,Matplotlib.animation: how to remove white margin,"fig.set_size_inches(w, h, forward=True)"
634,python string format() with dict with integer keys,'hello there %(5)s' % {'5': 'you'}
635,Python - converting a string of numbers into a list of int,"map(int, example_string.split(','))"
636,Python - converting a string of numbers into a list of int,"[int(s) for s in example_string.split(',')]"
637,Python list of tuples to list of int,x = [i[0] for i in x]
638,Python list of tuples to list of int,"y = map(operator.itemgetter(0), x)"
639,Python list of tuples to list of int,y = [i[0] for i in x]
640,How do I extract all the values of a specific key from a list of dictionaries?,results = [item['value'] for item in test_data]
641,ISO Time (ISO 8601) in Python,datetime.datetime.now().isoformat()
642,ISO Time (ISO 8601) in Python,datetime.datetime.utcnow().isoformat()
643,Merging data frame columns of strings into one single column in Pandas,"df.apply(' '.join, axis=0)"
644,pandas Subtract Dataframe with a row from another dataframe,"pd.DataFrame(df.values - df2.values, columns=df.columns)"
645,How can I detect DOS line breaks in a file?,"print(open('myfile.txt', 'U').read())"
646,Python - read text file with weird utf-16 format,print(line.decode('utf-16-le').split())
647,Python - read text file with weird utf-16 format,"file = io.open('data.txt', 'r', encoding='utf-16-le')"
648,Finding common rows (intersection) in two Pandas dataframes,"s1 = pd.merge(df1, df2, how='inner', on=['user_id'])"
649,How can I check a Python unicode string to see that it *actually* is proper Unicode?,foo.decode('utf8').encode('utf8')
650,Numpy array dimensions,a.shape
651,Numpy array dimensions,N.shape(a)
652,Numpy array dimensions,N.shape(a)
653,Numpy array dimensions,a.shape
654,How to search a list of tuples in Python,"[i for i, v in enumerate(L) if v[0] == 53]"
655,convert a string of bytes into an int (python),"struct.unpack('<L', 'y\xcc\xa6\xbb')[0]"
656,How to get the values from a NumPy array using multiple indices,"arr[[0, 1, 1], [1, 0, 2]]"
657,what's a good way to combinate through a set?,list(powerset('abcd'))
658,Converting from a string to boolean in Python?,"s in ['true', '1', 't', 'y', 'yes', 'yeah', 'yup', 'certainly', 'uh-huh']"
659,How do I url encode in Python?,urllib.parse.quote('http://spam.com/go/')
660,How can I get the output of a matplotlib plot as an SVG?,plt.savefig('test.svg')
661,Counting array elements in Python,len(myArray)
662,Python Embedding in C++ : ImportError: No module named pyfunction,"sys.path.insert(0, './path/to/your/modules/')"
663,How to plot with x-axis at the top of the figure?,ax.xaxis.set_ticks_position('top')
664,Python - Bulk Select then Insert from one DB to another,cursor.execute('INSERT OR REPLACE INTO master.table1 SELECT * FROM table1')
665,How do I use a regular expression to match a name?,"re.match('[a-zA-Z][\\w-]*\\Z', 'A\n')"
666,How do I use a regular expression to match a name?,"re.match('[a-zA-Z][\\w-]*$', '!A_B')"
667,Convert hex string to int,"int('deadbeef', 16)"
668,Convert hex string to int,"int('a', 16)"
669,Convert hex string to int,"int('0xa', 16)"
670,Convert hex string to int,"int(s, 16)"
671,Convert hex string to int,"int(hexString, 16)"
672,How to print variables without spaces between values,"print('Value is ""' + str(value) + '""')"
673,How to print variables without spaces between values,"print('Value is ""{}""'.format(value))"
674,How do I convert an array to string using the jinja template engine?,{{tags | join(' ')}}
675,get a list of locally installed Python modules,help('modules')
676,Slicing a multidimensional list,[[[x[0]] for x in listD[i]] for i in range(len(listD))]
677,Sort a string in lexicographic order python,"sorted(s, key=str.upper)"
678,Sort a string in lexicographic order python,"sorted(sorted(s), key=str.upper)"
679,Sort a string in lexicographic order python,"sorted(s, key=str.lower)"
680,Compare Python Pandas DataFrames for matching rows,"pd.merge(df1, df2, on=['A', 'B', 'C', 'D'], how='inner')"
681,get keys correspond to a value in dictionary,"dict((v, k) for k, v in map.items())"
682,How to decode unicode raw literals to readable string?,s.decode('unicode_escape')
683,What is the easiest way to convert list with str into list with int?,[int(i) for i in str_list]
684,What is the easiest way to convert list with str into list with int?,"map(int, ['1', '2', '3'])"
685,What is the easiest way to convert list with str into list with int?,"list(map(int, ['1', '2', '3']))"
686,Python BeautifulSoup Extract specific URLs,"soup.find_all('a', href=re.compile('http://www\\.iwashere\\.com/'))"
687,Python BeautifulSoup Extract specific URLs,"soup.find_all('a', href=re.compile('^(?!(?:[a-zA-Z][a-zA-Z0-9+.-]*:|//))'))"
688,Python: How can I execute a jar file through a python script,"subprocess.call(['java', '-jar', 'Blender.jar'])"
689,How can I insert NULL data into MySQL database with Python?,"cursor.execute('INSERT INTO table (`column1`) VALUES (%s)', (value,))"
690,remove a substring from the end of a string,if url.endswith('.com'):\n    url = url[:(-4)]
691,remove a substring from the end of a string,"url = re.sub('\\.com$', '', url)"
692,remove a substring from the end of a string,"print(url.replace('.com', ''))"
693,remove a substring from the end of a string,if (not text.endswith(suffix)):\n    return text\nreturn text[:(len(text) - len(suffix))]
694,Python - print tuple elements with no brackets,"print(', ,'.join([str(i[0]) for i in mytuple]))"
695,Clamping floating numbers in Python?,"max(min(my_value, max_value), min_value)"
696,Splitting a string into words and punctuation,"re.findall('\\w+|[^\\w\\s]', text, re.UNICODE)"
697,How to execute raw SQL in SQLAlchemy-flask app,result = db.engine.execute('<sql here>')
698,Is there a method that tells my program to quit?,sys.exit(0)
699,Python - find digits in a string,""""""""""""".join(c for c in my_string if c.isdigit())"
700,python split string based on regular expression,"re.split(' +', str1)"
701,python split string based on regular expression,"re.findall('\\S+', str1)"
702,Python: How to get attribute of attribute of an object with getattr?,"getattr(getattr(myobject, 'id', None), 'number', None)"
703,Convert generator object to a dictionary,{i: (i * 2) for i in range(10)}
704,Convert generator object to a dictionary,"dict((i, i * 2) for i in range(10))"
705,How do I tell matplotlib that I am done with a plot?,plt.cla()
706,Python Convert String Literal to Float,"total = sum(float(item) for item in s.split(','))"
707,Python ASCII to binary,bin(ord('P'))
708,Get a string after a specific substring,"print(my_string.split(', ', 1)[1])"
709,Python Accessing Nested JSON Data,print(data['places'][0]['post code'])
710,Python RegEx using re.sub with multiple patterns,"word = re.sub('([aeiou]):(([aeiou][^aeiou]*){3})$', '\\1\\2', word)"
711,How to extract data from JSON Object in Python?,"json.loads('{""foo"": 42, ""bar"": ""baz""}')['bar']"
712,Convert JSON array to Python list,data = json.loads(array)
713,Convert JSON array to Python list,data = json.loads(array)
714,Parsing a tweet to extract hashtags into an array in Python,"re.findall('#(\\w+)', 'http://example.org/#comments')"
715,Python - Fastest way to check if a string contains specific characters in any of the items in a list,any(e in lestring for e in lelist)
716,How to plot two columns of a pandas data frame using points?,"df.plot(x='col_name_1', y='col_name_2', style='o')"
717,Parsing HTML,"parsed_html = BeautifulSoup(html)\nprint(parsed_html.body.find('div', attrs={'class': 'container', }).text)"
718,Parsing HTML,page = urllib.request.urlopen('http://www.google.com/')\nsoup = BeautifulSoup(page)
719,change figure size and figure format in matplotlib,"plt.figure(figsize=(3, 4))"
720,Best way to strip punctuation from a string in Python,"s.translate(None, string.punctuation)"
721,Django urlsafe base64 decoding with decryption,base64.urlsafe_b64decode(uenc.encode('ascii'))
722,Get the number of all keys in a dictionary of dictionaries in Python,len(dict_test) + sum(len(v) for v in dict_test.values())
723,Python convert decimal to hex,hex(d).split('x')[1]
724,converting integer to list in python,list(str(123))
725,converting integer to list in python,[int(x) for x in str(num)]
726,Python Mechanize select a form with no name,br.select_form(nr=0)
727,Python load json file with UTF-8 BOM header,"json.load(codecs.open('sample.json', 'r', 'utf-8-sig'))"
728,Python load json file with UTF-8 BOM header,json.loads(open('sample.json').read().decode('utf-8-sig'))
729,Issue sending email with python?,"server = smtplib.SMTP('smtp.gmail.com', 587)"
730,Reversing bits of Python integer,"int('{:08b}'.format(n)[::-1], 2)"
731,Pandas DataFrame Add column to index without resetting,"df.set_index(['d'], append=True)"
732,Iterating over dictionaries using for loops,"for (key, value) in d.items():\n    pass"
733,Iterating over dictionaries using for loops,"for (key, value) in list(d.items()):\n    pass"
734,Iterating over dictionaries using for loops,"for (letter, number) in list(d.items()):\n    pass"
735,Iterating over dictionaries using for loops,"for (k, v) in list(d.items()):\n    pass"
736,Iterating over dictionaries using for loops,list(d.items())
737,Iterating over dictionaries using for loops,list(d.items())
738,Iterating over dictionaries using for loops,"for (k, v) in list(d.items()):\n    pass"
739,Iterating over dictionaries using for loops,"for (letter, number) in list(d.items()):\n    pass"
740,Iterating over dictionaries using for loops,"for (letter, number) in list(d.items()):\n    pass"
741,How do I implement a null coalescing operator in SQLAlchemy?,session.query(Task).filter(Task.time_spent > timedelta(hours=3)).all()
742,How do I compile a Visual Studio project from the command-line?,os.system('msbuild project.sln /p:Configuration=Debug')
743,Get max key in dictionary,"max(list(MyCount.keys()), key=int)"
744,Can I use an alias to execute a program from a python script,os.system('source .bashrc; shopt -s expand_aliases; nuke -x scriptPath')
745,How to get a function name as a string in Python?,my_function.__name__
746,How to get a function name as a string in Python?,my_function.__name__
747,How to check if all values in the columns of a numpy matrix are the same?,"np.all(a == a[(0), :], axis=0)"
748,Sorting a list of tuples by the addition of second and third element of the tuple,"sorted(a, key=lambda x: (sum(x[1:3]), x[0]))"
749,Sorting a list of tuples by the addition of second and third element of the tuple,"sorted(a, key=lambda x: (sum(x[1:3]), x[0]), reverse=True)"
750,Sorting a list of tuples by the addition of second and third element of the tuple,"sorted(lst, key=lambda x: (sum(x[1:]), x[0]))"
751,Sorting a list of tuples by the addition of second and third element of the tuple,"sorted(lst, key=lambda x: (sum(x[1:]), x[0]), reverse=True)"
752,Add headers in a Flask app with unicode_literals,"response.headers['WWW-Authenticate'] = 'Basic realm=""test""'"
753,In Django,del request.session['mykey']
754,Python date string to date object,"datetime.datetime.strptime('24052010', '%d%m%Y').date()"
755,Replace non-ASCII characters with a single space,"re.sub('[^\\x00-\\x7F]+', ' ', text)"
756,List of lists into numpy array,"numpy.array([[1, 2], [3, 4]])"
757,What does a for loop within a list do in Python?,myList = [i for i in range(10)]
758,using regular expression to split string in python,[m[0] for m in re.compile('((.+?)\\2+)').findall('44442(2)2(2)44')]
759,using regular expression to split string in python,"[i[0] for i in re.findall('((\\d)(?:[()]*\\2*[()]*)*)', s)]"
760,How to remove the space between subplots in matplotlib.pyplot?,"fig.subplots_adjust(wspace=0, hspace=0)"
761,How to reverse tuples in Python?,x[::-1]
762,Python JSON encoding,"json.dumps({'apple': 'cat', 'banana': 'dog', 'pear': 'fish'})"
763,Writing List of Strings to Excel CSV File in Python,csvwriter.writerow(row)
764,How to convert datetime to string in python in django,{{(item.date | date): 'Y M d'}}
765,Non-consuming regular expression split in Python,"re.split('(?<=[\\.\\?!]) ', text)"
766,UTF in Python Regex,re.compile('\xe2\x80\x93')
767,declare an array,variable = []
768,declare an array,intarray = array('i')
769,How to reverse the elements in a sublist?,[sublist[::-1] for sublist in to_reverse[::-1]]
770,Replace all non-alphanumeric characters in a string,"re.sub('[^0-9a-zA-Z]+', '*', 'h^&ell`.,|o w]{+orld')"
771,Python: unescape special characters without splitting data,""""""""""""".join(['I ', '<', '3s U ', '&', ' you luvz me'])"
772,How can I disable logging while running unit tests in Python Django?,logging.disable(logging.CRITICAL)
773,Adding url to mysql row in python,"cursor.execute('INSERT INTO index(url) VALUES(%s)', (url,))"
774,Convert column of date objects in Pandas DataFrame to strings,df['DateStr'] = df['DateObj'].dt.strftime('%d%m%Y')
775,python regex get first part of an email address,s.split('@')[0]
776,Python Pandas: drop rows of a timeserie based on time range,df.query('index < @start_remove or index > @end_remove')
777,Python Pandas: drop rows of a timeserie based on time range,df.loc[(df.index < start_remove) | (df.index > end_remove)]
778,How to count the Nan values in the column in Panda Data frame,df.isnull().sum()
779,Turn Pandas Multi-Index into column,df.reset_index(inplace=True)
780,python getting a list of value from list of dict,[x['value'] for x in list_of_dicts]
781,python getting a list of value from list of dict,[d['value'] for d in l]
782,python getting a list of value from list of dict,[d['value'] for d in l if 'value' in d]
783,Converting NumPy array into Python List structure?,"np.array([[1, 2, 3], [4, 5, 6]]).tolist()"
784,Converting string to tuple and adding to tuple,"ast.literal_eval('(1,2,3,4)')"
785,How to keep a list of lists sorted as it is created,dataList.sort(key=lambda x: x[1])
786,Python: Uniqueness for list of lists,"list(map(list, set(map(lambda i: tuple(i), testdata))))"
787,Python: Uniqueness for list of lists,[list(i) for i in set(tuple(i) for i in testdata)]
788,In Django,return user.groups.filter(name='Member').exists()
789,In Django,"return user.groups.filter(name__in=['group1', 'group2']).exists()"
790,Dynamically changing log level in python without restarting the application,logging.getLogger().setLevel(logging.DEBUG)
791,How to transform a tuple to a string of values without comma and parentheses,""""""""""""".join(str(i) for i in (34.2424, -64.2344, 76.3534, 45.2344))"
792,What is the simplest way to swap char in a string with Python?,""""""""""""".join([s[x:x + 2][::-1] for x in range(0, len(s), 2)])"
793,Drawing a huge graph with networkX and matplotlib,"plt.savefig('graph.png', dpi=1000)"
794,delete items from list of list: pythonic way,my_list = [[x for x in sublist if x not in to_del] for sublist in my_list]
795,Find an element in a list of tuples,[item for item in a if 1 in item]
796,Find an element in a list of tuples,[item for item in a if item[0] == 1]
797,How can I get the index value of a list comprehension?,"{p.id: {'id': p.id, 'position': ind} for ind, p in enumerate(p_list)}"
798,how to uniqify a list of dict in python,[dict(y) for y in set(tuple(x.items()) for x in d)]
799,How do I load a file into the python console?,"exec(compile(open('file.py').read(), 'file.py', 'exec'))"
800,Get the number of rows in table using SQLAlchemy,rows = session.query(Congress).count()
801,Execute Shell Script from python with variable,"subprocess.call(['test.sh', str(domid)])"
802,How to read a .xlsx file using the pandas Library in iPython?,"dfs = pd.read_excel(file_name, sheetname=None)"
803,Reading hex to double-precision float python,"struct.unpack('d', binascii.unhexlify('4081637ef7d0424a'))"
804,Indexing numpy array with another numpy array,a[tuple(b)]
805,How to find all possible sequences of elements in a list?,"map(list, permutations([2, 3, 4]))"
806,Sort a list in python based on another sorted list,"sorted(unsorted_list, key=presorted_list.index)"
807,How to get yesterday in python,datetime.datetime.now() - datetime.timedelta(days=1)
808,Creating a zero-filled pandas data frame,"d = pd.DataFrame(0, index=np.arange(len(data)), columns=feature_list)"
809,string find,x.find('World')
810,string find,x.find('Aloha')
811,string find,'sdfasdf'.index('cc')
812,string find,'sdfasdf'.index('df')
813,string find,str.find('a')
814,string find,str.find('g')
815,string find,"str.find('s', 11)"
816,string find,"str.find('s', 15)"
817,string find,"str.find('s', 16)"
818,string find,"str.find('s', 11, 14)"
819,Sort list of date strings,"sorted(d, key=lambda x: datetime.datetime.strptime(x, '%m-%Y'))"
820,Regular expression in Python sentence extractor,"re.split('\\.\\s', text)"
821,Regular expression in Python sentence extractor,"re.split('\\.\\s', re.sub('\\.\\s*$', '', text))"
822,Python - How to cut a string in Python?,"""""""foobar""""""[:4]"
823,Python - How to cut a string in Python?,s.rfind('&')
824,Python - How to cut a string in Python?,s[:s.rfind('&')]
825,Using a variable in xpath in Python Selenium,"driver.find_element_by_xpath(""//option[@value='"" + state + ""']"").click()"
826,append to a file,"with open('test.txt', 'a') as myfile:\n    myfile.write('appended text')"
827,append to a file,"with open('foo', 'a') as f:\n    f.write('cool beans...')"
828,append to a file,"with open('test1', 'ab') as f:\n    pass"
829,append to a file,"open('test', 'a+b').write('koko')"
830,How can I split a string into tokens?,"print([i for i in re.split('([\\d.]+|\\W+)', 'x+13.5*10x-4e1') if i])"
831,Python: Check if a string contains chinese character?,"re.findall('[\u4e00-\u9fff]+', ipath)"
832,String splitting in Python,s.split('s')
833,How to start a background process in Python?,"subprocess.Popen(['rm', '-r', 'some.file'])"
834,Elegant way to transform a list of dict into a dict of dicts,"dict((d['name'], d) for d in listofdict)"
835,print date in a regular format,datetime.datetime.now().strftime('%Y-%m-%d %H:%M')
836,print date in a regular format,time.strftime('%Y-%m-%d %H:%M')
837,Finding consecutive consonants in a word,"re.findall('[bcdfghjklmnpqrstvwxyz]+', 'CONCERTATION', re.IGNORECASE)"
838,How do I get a list of indices of non zero elements in a list?,"[i for i, e in enumerate(a) if e != 0]"
839,How to get integer values from a string in Python?,"map(int, re.findall('\\d+', string1))"
840,How can I know python's path under windows?,os.path.dirname(sys.executable)
841,Moving x-axis to the top of a plot in matplotlib,ax.xaxis.set_label_position('top')
842,Moving x-axis to the top of a plot in matplotlib,ax.xaxis.tick_top()
843,Moving x-axis to the top of a plot in matplotlib,ax.xaxis.set_ticks_position('top')
844,Parsing non-zero padded timestamps in Python,"datetime.strptime('2015/01/01 12:12am', '%Y/%m/%d %I:%M%p')"
845,Open images,img = Image.open('picture.jpg')\nimg.show()
846,Open images,img = Image.open('picture.jpg')\nImg.show
847,How do I abort the execution of a Python script?,sys.exit(0)
848,How do I abort the execution of a Python script?,sys.exit('aa! errors!')
849,How do I abort the execution of a Python script?,sys.exit()
850,Find maximum with limited length in a list,"[max(abs(x) for x in arr[i:i + 4]) for i in range(0, len(arr), 4)]"
851,How to set the current working directory in Python?,os.chdir('c:\\Users\\uname\\desktop\\python')
852,How to set the current working directory in Python?,os.chdir(path)
853,How to remove all integer values from a list in python,"no_integers = [x for x in mylist if not isinstance(x, int)]"
854,How do I match contents of an element in XPath (lxml)?,"tree.xpath("".//a[text()='Example']"")[0].tag"
855,convert dictionaries into string python,""""""", """""".join([(str(k) + ' ' + str(v)) for k, v in list(a.items())])"
856,Detecting non-ascii characters in unicode string,"print(set(re.sub('[\x00-\x7f]', '', '\xa3\u20ac\xa3\u20ac')))"
857,Detecting non-ascii characters in unicode string,"print(re.sub('[\x00-\x7f]', '', '\xa3100 is worth more than \u20ac100'))"
858,Convert a String representation of a Dictionary to a dictionary?,"ast.literal_eval(""{'muffin' : 'lolz', 'foo' : 'kitty'}"")"
859,Easiest way to remove unicode representations from a string in python 3?,print(t.decode('unicode_escape'))
860,String encoding and decoding from possibly latin1 and utf8,print(str.encode('cp1252').decode('utf-8').encode('cp1252').decode('utf-8'))
861,merge lists into a list of tuples,"zip(list_a, list_b)"
862,merge lists into a list of tuples,"list(zip(a, b))"
863,python pandas dataframe to dictionary,df.set_index('id').to_dict()
864,python pandas dataframe to dictionary,df.set_index('id')['value'].to_dict()
865,Can I sort text by its numeric value in Python?,"sorted(list(mydict.items()), key=lambda a: map(int, a[0].split('.')))"
866,How can I remove text within parentheses with a regex?,"re.sub('\\([^)]*\\)', '', filename)"
867,How can I tell if a string only contains letter AND spaces,"""""""a b"""""".replace(' ', '').isalpha()"
868,Add SUM of values of two LISTS into new LIST,"[(x + y) for x, y in zip(first, second)]"
869,How to sort a Python dictionary by value?,"sorted(list(a_dict.items()), key=lambda item: item[1][1])"
870,How to exclude a character from a regex group?,re.compile('[^a-zA-Z0-9-]+')
871,Get index of the top n values of a list in python,"sorted(list(range(len(a))), key=lambda i: a[i])[-2:]"
872,Get index of the top n values of a list in python,"zip(*sorted(enumerate(a), key=operator.itemgetter(1)))[0][-2:]"
873,Get index of the top n values of a list in python,"sorted(list(range(len(a))), key=lambda i: a[i], reverse=True)[:2]"
874,How to get the index with the key in Python dictionary?,list(x.keys()).index('c')
875,How to print +1 in Python,print('{0:+d}'.format(score))
876,Remove adjacent duplicate elements from a list,"[k for k, g in itertools.groupby([1, 2, 2, 3, 2, 2, 4])]"
877,Converting a String to List in Python,"""""""0,1,2"""""".split(',')"
878,Converting a String to List in Python,"[int(x) for x in '0,1,2'.split(',')]"
879,Python: Convert list of key-value tuples into dictionary?,"dict([('A', 1), ('B', 2), ('C', 3)])"
880,How to write a multidimensional array to a text file?,"np.savetxt('test.txt', x)"
881,How to store os.system() output in a variable or a list in python,"direct_output = subprocess.check_output('ls', shell=True)"
882,Select everything but a list of columns from pandas dataframe,df[df.columns - ['T1_V6']]
883,How to count values in a certain range in a Numpy array?,((25 < a) & (a < 100)).sum()
884,how to get day name in datetime in python,date.today().strftime('%A')
885,Python regular expression match whole word,"re.search('\\bis\\b', your_string)"
886,Python: How do I format a date in Jinja2?,{{car.date_of_manufacture | datetime}}
887,Python: How do I format a date in Jinja2?,{{car.date_of_manufacture.strftime('%Y-%m-%d')}}
888,Making a flat list out of list of lists,[item for sublist in l for item in sublist]
889,Making a flat list out of list of lists,list(itertools.chain(*list2d))
890,Making a flat list out of list of lists,list(itertools.chain.from_iterable(list2d))
891,Convert int to ASCII and back in Python,ord('a')
892,Python: use regular expression to remove the white space from all lines,"re.sub('(?m)^[^\\S\\n]+', '', '  a\n b\n c\nd  e')"
893,Python: use regular expression to remove the white space from all lines,"re.sub('(?m)^\\s+', '', 'a\n b\n c')"
894,Python: Assign each element of a List to a separate Variable,"a, b, c = [1, 2, 3]"
895,Python split a list into subsets based on pattern,"[list(v) for k, v in itertools.groupby(mylist, key=lambda x: x[:5])]"
896,Regular expression substitution in Python,"line = re.sub('\\(+as .*?\\) ', '', line)"
897,How to skip the extra newline while printing lines read from a file?,print(line.rstrip('\n'))
898,Get index values of Pandas DataFrame as list?,df.index.values.tolist()
899,check if a list is empty,if (not a):\n    pass
900,check if a list is empty,if (not seq):\n    pass
901,check if a list is empty,if (len(li) == 0):\n    pass
902,Find the indices of elements greater than x,"[i for i, v in enumerate(a) if v > 4]"
903,sorting list of nested dictionaries in python,"sorted(yourdata, reverse=True)"
904,sorting list of nested dictionaries in python,"sorted(yourdata, key=lambda d: d.get('key', {}).get('subkey'), reverse=True)"
905,sorting list of nested dictionaries in python,"yourdata.sort(key=lambda e: e['key']['subkey'], reverse=True)"
906,How to remove decimal points in pandas,df.round()
907,How to extract data from matplotlib plot,gca().get_lines()[n].get_xydata()
908,How to get the N maximum values per row in a numpy ndarray?,"A[:, -2:]"
909,MultiValueDictKeyError in Django,"request.GET.get('username', '')"
910,Any way to properly pretty-print ordered dictionaries in Python?,pprint(dict(list(o.items())))
911,Django can't find URL pattern,"url('^$', include('sms.urls')),"
912,Django can't find URL pattern,"url('^', include('sms.urls')),"
913,Pythonic way to get the largest item in a list,"max_item = max(a_list, key=operator.itemgetter(1))"
914,Pythonic way to get the largest item in a list,"max(a_list, key=operator.itemgetter(1))"
915,How to iterate over time periods in pandas,"s.resample('3M', how='sum')"
916,how to extract elements from a list in python?,"[a[i] for i in (1, 2, 5)]"
917,Python: Filter lines from a text file which contain a particular word,[line for line in open('textfile') if 'apple' in line]
918,How to convert a Date string to a DateTime object?,"datetime.datetime.strptime(s, '%Y-%m-%dT%H:%M:%SZ')"
919,Reading tab-delimited file with Pandas - works on Windows,"pandas.read_csv(filename, sep='\t', lineterminator='\r')"
920,Replace first occurence of string,"'longlongTESTstringTEST'.replace('TEST', '?', 1)"
921,How can I zip file with a flattened directory structure using Zipfile in Python?,"archive.write(pdffile, os.path.basename(pdffile))"
922,Elegant way to create a dictionary of pairs,dict(x[1:] for x in reversed(myListOfTuples))
923,How to subtract two lists in python,"[(x1 - x2) for x1, x2 in zip(List1, List2)]"
924,How to tell if string starts with a number?,string[0].isdigit()
925,How to tell if string starts with a number?,"strg.startswith(('0', '1', '2', '3', '4', '5', '6', '7', '8', '9'))"
926,How can I find script's directory with Python?,print(os.path.dirname(os.path.realpath(__file__)))
927,Finding the surrounding sentence of a char/word in a string,"re.split('(?<=\\?|!|\\.)\\s{0,2}(?=[A-Z]|$)', text)"
928,Plotting a list of (x,plt.scatter(*zip(*li))
929,Rearrange tuple of tuples in Python,tuple(zip(*t))
930,Find Average of Every Three Columns in Pandas dataframe,"df.groupby(np.arange(len(df.columns)) // 3, axis=1).mean()"
931,How do I convert a list of ascii values to a string in python?,""""""""""""".join(chr(i) for i in L)"
932,Python 2.7 Counting number of dictionary items with given value,sum(x == chosen_value for x in list(d.values()))
933,Python 2.7 Counting number of dictionary items with given value,sum(1 for x in list(d.values()) if some_condition(x))
934,convert double to float in Python,"struct.unpack('f', struct.pack('f', 0.00582811585976))"
935,Converting datetime.date to UTC timestamp in Python,"timestamp = (dt - datetime(1970, 1, 1)).total_seconds()"
936,Custom sorting in pandas dataframe,df.sort('m')
937,How to sort with lambda in Python,"a = sorted(a, key=lambda x: x.modified, reverse=True)"
938,How can I print the Truth value of a variable?,print(bool(a))
939,How can I change a specific row label in a Pandas dataframe?,df = df.rename(index={last: 'a'})
940,Scikit-learn: How to run KMeans on a one-dimensional array?,"km.fit(x.reshape(-1, 1))"
941,sorting a list in python,"sorted(words, key=lambda x: 'a' + x if x.startswith('s') else 'b' + x)"
942,login to a site using python and opening the login site in the browser,webbrowser.open('http://somesite.com/adminpanel/index.php')
943,Pythonic way to fetch all elements in a dictionary,"dict((k, v) for k, v in parent_dict.items() if 2 < k < 4)"
944,Pythonic way to fetch all elements in a dictionary,"dict((k, v) for k, v in parent_dict.items() if k > 2 and k < 4)"
945,python sorting two lists,"[list(x) for x in zip(*sorted(zip(list1, list2), key=lambda pair: pair[0]))]"
946,number of values in a list greater than a certain number,sum(((i > 5) for i in j))
947,number of values in a list greater than a certain number,len([1 for i in j if (i > 5)])
948,number of values in a list greater than a certain number,j = np.array(j)\nsum((j > i))
949,Python: elegant way of creating a list of tuples?,"[(x + tuple(y)) for x, y in zip(zip(a, b), c)]"
